keys,en,ja,es,pt
MUSIC,Music,音楽,Música,Música
SFX,Effects,効果音,Efectos,Efeitos
MASTER,Master,主音量,Maestro,Principal
RETURN_TO_TITLE,Return to Title,タイトルに戻る,Volver al Título,Retornar ao Título
LANGUAGE,Language,言語,Idioma,Idioma
LANGUAGE_NAME,English,日本語,Español,Português
PEPPER_GAME,Pepper Game,ペッパーゲーム,Juego de la Pimienta,Jogo da Pimenta
START_GAME,Start Game,試合開始,Comenzar el Juego,Iniciar o Jogo
OPTIONS,Options,オプション,Opciones,Opções
CREDITS,Credits,クレジット,Créditos,Créditos
HIGH_SCORE,Best Score,ベストスコア,Mejor Puntuación,Melhor Pontuação
GAME_OVER,Game Over,ゲームオーバー,Fin del Juego,Fim do Jogo
PRESS_TO_RESTART,Press 'R' to Restart,'R'を押して再起動する,Pulse 'R' para Reiniciar,Pressione 'R' para Reiniciar
SCORE,Score,スコア,Puntuación,Pontuação
NEXT,Next,ネクスト,Siguiente,Próximo
MUTED,Muted,ミュート,Silenciar,Mudo
PROMOTION_ORDER,Promotions,ピーマンの輪,Promociones,Promoções
